Номер симуляции,Размер выборки,Количество реальных линейных предикторов,Количество шумовых нелинейных предикторов,Количество реальных нелинейных предикторов,Количество взаимодействий,Корреляция существенного регрессора,Влияние существенного регрессора,Тип ошибки,Доля ошибок
436,500,4,10,0,0,0.5,1,2,1.0
437,500,4,10,0,0,0.5,2,2,1.0
438,500,4,10,0,0,0.5,5,2,1.0
439,500,4,10,0,0,0.9,1,2,1.0
440,500,4,10,0,0,0.9,2,2,1.0
441,500,4,10,0,0,0.9,5,2,1.0
442,500,4,15,0,0,0.05,1,2,1.0
443,500,4,15,0,0,0.05,2,2,1.0
444,500,4,15,0,0,0.05,5,2,1.0
445,500,4,15,0,0,0.5,1,2,1.0
446,500,4,15,0,0,0.5,2,2,1.0
447,500,4,15,0,0,0.5,5,2,1.0
448,500,4,15,0,0,0.9,1,2,1.0
449,500,4,15,0,0,0.9,2,2,1.0
450,500,4,15,0,0,0.9,5,2,1.0
451,500,10,1,0,0,0.05,1,2,0.9233333333333333
452,500,10,1,0,0,0.05,2,2,0.9366666666666666
453,500,10,1,0,0,0.05,5,2,0.92
454,500,10,1,0,0,0.5,1,2,0.9333333333333333
455,500,10,1,0,0,0.5,2,2,0.95
456,500,10,1,0,0,0.5,5,2,0.9633333333333334
457,500,10,1,0,0,0.9,1,2,0.95
458,500,10,1,0,0,0.9,2,2,0.9366666666666666
459,500,10,1,0,0,0.9,5,2,0.9366666666666666
460,500,10,3,0,0,0.05,1,2,0.96
461,500,10,3,0,0,0.05,2,2,0.9333333333333333
462,500,10,3,0,0,0.05,5,2,0.9666666666666667
463,500,10,3,0,0,0.5,1,2,0.9566666666666667
464,500,10,3,0,0,0.5,2,2,0.9533333333333334
465,500,10,3,0,0,0.5,5,2,0.95
466,500,10,3,0,0,0.9,1,2,0.96
467,500,10,3,0,0,0.9,2,2,0.95
468,500,10,3,0,0,0.9,5,2,0.96
469,500,10,4,0,0,0.05,1,2,0.9633333333333334
470,500,10,4,0,0,0.05,2,2,0.9466666666666667
471,500,10,4,0,0,0.05,5,2,0.94
472,500,10,4,0,0,0.5,1,2,0.9466666666666667
473,500,10,4,0,0,0.5,2,2,0.9333333333333333
474,500,10,4,0,0,0.5,5,2,0.9333333333333333
475,500,10,4,0,0,0.9,1,2,0.9366666666666666
476,500,10,4,0,0,0.9,2,2,0.96
477,500,10,4,0,0,0.9,5,2,0.9333333333333333
478,500,10,10,0,0,0.05,1,2,1.0
479,500,10,10,0,0,0.05,2,2,1.0
480,500,10,10,0,0,0.05,5,2,1.0
481,500,10,10,0,0,0.5,1,2,1.0
482,500,10,10,0,0,0.5,2,2,1.0
483,500,10,10,0,0,0.5,5,2,1.0
484,500,10,10,0,0,0.9,1,2,1.0
485,500,10,10,0,0,0.9,2,2,1.0
486,500,10,10,0,0,0.9,5,2,1.0
487,500,10,15,0,0,0.05,1,2,1.0
488,500,10,15,0,0,0.05,2,2,1.0
489,500,10,15,0,0,0.05,5,2,1.0
490,500,10,15,0,0,0.5,1,2,1.0
491,500,10,15,0,0,0.5,2,2,1.0
492,500,10,15,0,0,0.5,5,2,1.0
493,500,10,15,0,0,0.9,1,2,1.0
494,500,10,15,0,0,0.9,2,2,1.0
495,500,10,15,0,0,0.9,5,2,1.0
496,500,15,1,0,0,0.05,1,2,0.95
497,500,15,1,0,0,0.05,2,2,0.94
498,500,15,1,0,0,0.05,5,2,0.9433333333333334
499,500,15,1,0,0,0.5,1,2,0.9633333333333334
500,500,15,1,0,0,0.5,2,2,0.9266666666666666
501,500,15,1,0,0,0.5,5,2,0.9766666666666667
502,500,15,1,0,0,0.9,1,2,0.9466666666666667
503,500,15,1,0,0,0.9,2,2,0.9466666666666667
504,500,15,1,0,0,0.9,5,2,0.96
505,500,15,3,0,0,0.05,1,2,0.9633333333333334
506,500,15,3,0,0,0.05,2,2,0.9433333333333334
507,500,15,3,0,0,0.05,5,2,0.9433333333333334
