Номер симуляции,Размер выборки,Количество реальных линейных предикторов,Количество шумовых нелинейных предикторов,Количество реальных нелинейных предикторов,Количество взаимодействий,Корреляция существенного регрессора,Влияние существенного регрессора,Тип ошибки,Доля ошибок
366,500,10,2,1,2,0.5,2,2,0.42333333333333334
367,500,10,2,1,0,0.5,5,2,0.14333333333333334
368,500,10,2,1,1,0.5,5,2,0.31333333333333335
369,500,10,2,1,2,0.5,5,2,0.39
370,500,10,2,1,0,0.9,0,2,0.02666666666666667
371,500,10,2,1,1,0.9,0,2,0.2633333333333333
372,500,10,2,1,2,0.9,0,2,0.37666666666666665
373,500,10,2,1,0,0.9,2,2,0.02666666666666667
374,500,10,2,1,1,0.9,2,2,0.33
375,500,10,2,1,2,0.9,2,2,0.3933333333333333
376,500,10,2,1,0,0.9,5,2,0.056666666666666664
377,500,10,2,1,1,0.9,5,2,0.31
378,500,10,2,1,2,0.9,5,2,0.37333333333333335
379,500,10,2,2,0,0.0,0,2,0.0033333333333333335
380,500,10,2,2,1,0.0,0,2,0.14333333333333334
381,500,10,2,2,2,0.0,0,2,0.23333333333333334
382,500,10,2,2,0,0.0,2,2,0.013333333333333334
383,500,10,2,2,1,0.0,2,2,0.16
384,500,10,2,2,2,0.0,2,2,0.21333333333333335
385,500,10,2,2,0,0.0,5,2,0.03666666666666667
386,500,10,2,2,1,0.0,5,2,0.18666666666666668
387,500,10,2,2,2,0.0,5,2,0.2633333333333333
388,500,10,2,2,0,0.5,0,2,0.006666666666666667
389,500,10,2,2,1,0.5,0,2,0.16
390,500,10,2,2,2,0.5,0,2,0.23333333333333334
391,500,10,2,2,0,0.5,2,2,0.006666666666666667
392,500,10,2,2,1,0.5,2,2,0.16333333333333333
393,500,10,2,2,2,0.5,2,2,0.25333333333333335
394,500,10,2,2,0,0.5,5,2,0.01
395,500,10,2,2,1,0.5,5,2,0.15333333333333332
396,500,10,2,2,2,0.5,5,2,0.26
397,500,10,2,2,0,0.9,0,2,0.0
398,500,10,2,2,1,0.9,0,2,0.14333333333333334
399,500,10,2,2,2,0.9,0,2,0.27666666666666667
400,500,10,2,2,0,0.9,2,2,0.0033333333333333335
401,500,10,2,2,1,0.9,2,2,0.17666666666666667
402,500,10,2,2,2,0.9,2,2,0.3
403,500,10,2,2,0,0.9,5,2,0.006666666666666667
404,500,10,2,2,1,0.9,5,2,0.16333333333333333
405,500,10,2,2,2,0.9,5,2,0.25666666666666665
406,500,10,2,5,0,0.0,0,2,0.07
407,500,10,2,5,1,0.0,0,2,0.07
408,500,10,2,5,2,0.0,0,2,0.09666666666666666
409,500,10,2,5,0,0.0,2,2,0.04
410,500,10,2,5,1,0.0,2,2,0.07333333333333333
411,500,10,2,5,2,0.0,2,2,0.06666666666666667
412,500,10,2,5,0,0.0,5,2,0.07
413,500,10,2,5,1,0.0,5,2,0.08
414,500,10,2,5,2,0.0,5,2,0.07
415,500,10,2,5,0,0.5,0,2,0.06
416,500,10,2,5,1,0.5,0,2,0.06666666666666667
417,500,10,2,5,2,0.5,0,2,0.07333333333333333
418,500,10,2,5,0,0.5,2,2,0.05
419,500,10,2,5,1,0.5,2,2,0.08666666666666667
420,500,10,2,5,2,0.5,2,2,0.09
421,500,10,2,5,0,0.5,5,2,0.04666666666666667
422,500,10,2,5,1,0.5,5,2,0.07
423,500,10,2,5,2,0.5,5,2,0.07666666666666666
424,500,10,2,5,0,0.9,0,2,0.056666666666666664
425,500,10,2,5,1,0.9,0,2,0.07666666666666666
426,500,10,2,5,2,0.9,0,2,0.09666666666666666
427,500,10,2,5,0,0.9,2,2,0.05333333333333334
428,500,10,2,5,1,0.9,2,2,0.056666666666666664
429,500,10,2,5,2,0.9,2,2,0.08
430,500,10,2,5,0,0.9,5,2,0.05
431,500,10,2,5,1,0.9,5,2,0.06
432,500,10,2,5,2,0.9,5,2,0.07
433,500,10,3,0,0,0.0,0,1,0.04
434,500,10,3,0,1,0.0,0,2,0.51
435,500,10,3,0,2,0.0,0,2,0.5
436,500,10,3,0,0,0.0,2,1,0.04666666666666667
437,500,10,3,0,1,0.0,2,2,0.5666666666666667
438,500,10,3,0,2,0.0,2,2,0.5333333333333333
439,500,10,3,0,0,0.0,5,1,0.05333333333333334
440,500,10,3,0,1,0.0,5,2,0.6033333333333334
441,500,10,3,0,2,0.0,5,2,0.5666666666666667
442,500,10,3,0,0,0.5,0,1,0.03333333333333333
443,500,10,3,0,1,0.5,0,2,0.5666666666666667
444,500,10,3,0,2,0.5,0,2,0.44666666666666666
445,500,10,3,0,0,0.5,2,2,0.9566666666666667
446,500,10,3,0,1,0.5,2,2,0.5466666666666666
447,500,10,3,0,2,0.5,2,2,0.5066666666666667
448,500,10,3,0,0,0.5,5,2,0.9433333333333334
449,500,10,3,0,1,0.5,5,2,0.6466666666666666
450,500,10,3,0,2,0.5,5,2,0.55
451,500,10,3,0,0,0.9,0,1,0.05
452,500,10,3,0,1,0.9,0,2,0.56
453,500,10,3,0,2,0.9,0,2,0.54
454,500,10,3,0,0,0.9,2,2,0.95
455,500,10,3,0,1,0.9,2,2,0.59
456,500,10,3,0,2,0.9,2,2,0.4666666666666667
457,500,10,3,0,0,0.9,5,2,0.9366666666666666
458,500,10,3,0,1,0.9,5,2,0.5566666666666666
459,500,10,3,0,2,0.9,5,2,0.48
460,500,10,3,1,0,0.0,0,2,0.04666666666666667
461,500,10,3,1,1,0.0,0,2,0.3466666666666667
462,500,10,3,1,2,0.0,0,2,0.39666666666666667
463,500,10,3,1,0,0.0,2,2,0.09666666666666666
464,500,10,3,1,1,0.0,2,2,0.31333333333333335
465,500,10,3,1,2,0.0,2,2,0.38
466,500,10,3,1,0,0.0,5,2,0.24
467,500,10,3,1,1,0.0,5,2,0.36
468,500,10,3,1,2,0.0,5,2,0.41
469,500,10,3,1,0,0.5,0,2,0.043333333333333335
470,500,10,3,1,1,0.5,0,2,0.3433333333333333
471,500,10,3,1,2,0.5,0,2,0.44
472,500,10,3,1,0,0.5,2,2,0.08333333333333333
473,500,10,3,1,1,0.5,2,2,0.3233333333333333
474,500,10,3,1,2,0.5,2,2,0.39
475,500,10,3,1,0,0.5,5,2,0.21
476,500,10,3,1,1,0.5,5,2,0.36666666666666664
477,500,10,3,1,2,0.5,5,2,0.43333333333333335
478,500,10,3,1,0,0.9,0,2,0.05
479,500,10,3,1,1,0.9,0,2,0.30666666666666664
480,500,10,3,1,2,0.9,0,2,0.4
481,500,10,3,1,0,0.9,2,2,0.06
482,500,10,3,1,1,0.9,2,2,0.34
483,500,10,3,1,2,0.9,2,2,0.3933333333333333
484,500,10,3,1,0,0.9,5,2,0.08333333333333333
485,500,10,3,1,1,0.9,5,2,0.3
486,500,10,3,1,2,0.9,5,2,0.39666666666666667
487,500,10,3,2,0,0.0,0,2,0.0033333333333333335
488,500,10,3,2,1,0.0,0,2,0.17
489,500,10,3,2,2,0.0,0,2,0.2966666666666667
490,500,10,3,2,0,0.0,2,2,0.01
491,500,10,3,2,1,0.0,2,2,0.17
492,500,10,3,2,2,0.0,2,2,0.26
